0.121,0.109,0.082,0.079,0.077,0.061,0.082,0.052,0.036,0.055,0.028,0.03,0.033,0.022,0.015,0.021,0.014,0.013,0.008,0.006,0.01,0.005,0.007,0.004,0.002,0.003,0.004,0.005,0.003,0.003,0.002,0,0.001,0.001,0.003,0.002,0,0,0.001,0,0,0
0.145,0.126,0.095,0.11,0.073,0.063,0.052,0.046,0.051,0.023,0.024,0.022,0.029,0.025,0.017,0.011,0.01,0.013,0.005,0.007,0.004,0.003,0.008,0.006,0.003,0.004,0.003,0.003,0.004,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0,0.005,0.001,0,0
0.104,0.09,0.087,0.06,0.078,0.062,0.053,0.062,0.052,0.033,0.031,0.038,0.03,0.031,0.02,0.021,0.017,0.012,0.01,0.006,0.018,0.019,0.01,0.006,0.003,0.005,0.007,0.004,0.009,0.003,0.001,0.004,0.001,0.002,0.003,0.001,0.001,0,0.002,0.002,0.001,0.001
0.086,0.069,0.073,0.064,0.079,0.073,0.06,0.055,0.072,0.042,0.034,0.039,0.031,0.025,0.024,0.021,0.021,0.019,0.007,0.013,0.01,0.009,0.011,0.011,0.008,0.004,0.007,0.007,0.005,0.006,0.002,0.002,0.002,0.003,0.002,0.001,0,0.001,0,0.002,0,0
0.057,0.074,0.07,0.062,0.063,0.064,0.044,0.056,0.056,0.055,0.039,0.031,0.029,0.03,0.03,0.02,0.03,0.022,0.018,0.022,0.014,0.014,0.01,0.006,0.01,0.005,0.008,0.01,0.007,0.008,0.002,0.004,0.01,0.006,0.002,0.001,0.002,0.003,0.003,0.001,0.001,0.001
0.043,0.068,0.048,0.059,0.043,0.04,0.063,0.055,0.062,0.046,0.034,0.05,0.034,0.043,0.042,0.021,0.029,0.035,0.029,0.019,0.02,0.011,0.007,0.011,0.014,0.018,0.009,0.007,0.004,0.005,0.006,0.001,0.004,0.004,0.002,0.003,0.002,0.004,0.002,0,0.001,0.002
0.025,0.04,0.047,0.037,0.038,0.035,0.044,0.049,0.05,0.053,0.06,0.044,0.055,0.04,0.03,0.04,0.026,0.028,0.035,0.033,0.019,0.029,0.019,0.022,0.025,0.014,0.014,0.007,0.008,0.006,0.003,0.003,0.006,0.002,0.003,0.002,0.002,0.003,0.001,0.001,0.001,0.001
0.001,0.002,0.002,0.003,0.002,0.006,0.001,0.005,0.004,0.006,0.004,0.008,0.01,0.014,0.011,0.019,0.017,0.02,0.028,0.021,0.016,0.031,0.026,0.037,0.034,0.048,0.044,0.044,0.044,0.06,0.06,0.053,0.053,0.051,0.036,0.039,0.042,0.027,0.025,0.025,0.011,0.01
0.004,0.002,0.003,0.002,0.005,0.004,0.007,0.012,0.011,0.012,0.009,0.005,0.009,0.015,0.013,0.023,0.029,0.027,0.026,0.032,0.033,0.033,0.043,0.054,0.045,0.034,0.05,0.043,0.034,0.052,0.04,0.042,0.037,0.033,0.037,0.024,0.029,0.019,0.018,0.014,0.02,0.016
0.005,0.003,0.003,0.007,0.004,0.01,0.004,0.015,0.016,0.016,0.029,0.015,0.022,0.018,0.021,0.02,0.031,0.023,0.032,0.026,0.047,0.04,0.036,0.048,0.045,0.039,0.034,0.035,0.049,0.038,0.032,0.033,0.026,0.024,0.028,0.029,0.028,0.012,0.019,0.013,0.013,0.012
0.004,0.005,0.004,0.003,0.003,0.002,0.004,0.002,0.005,0.009,0.017,0.016,0.013,0.013,0.014,0.026,0.019,0.016,0.026,0.035,0.027,0.032,0.043,0.036,0.037,0.047,0.053,0.031,0.053,0.039,0.047,0.047,0.04,0.045,0.032,0.027,0.029,0.031,0.026,0.013,0.012,0.017
0.014,0.011,0.015,0.012,0.016,0.022,0.021,0.029,0.026,0.033,0.023,0.03,0.033,0.041,0.036,0.036,0.045,0.037,0.037,0.041,0.047,0.043,0.045,0.035,0.039,0.023,0.023,0.028,0.016,0.027,0.016,0.009,0.009,0.017,0.011,0.012,0.014,0.009,0.003,0.007,0.007,0.002
0.048,0.055,0.065,0.067,0.068,0.055,0.041,0.052,0.047,0.044,0.045,0.039,0.039,0.041,0.038,0.028,0.023,0.023,0.022,0.026,0.011,0.018,0.015,0.017,0.011,0.01,0.009,0.013,0.002,0.006,0.004,0.002,0.001,0.005,0.005,0,0,0.002,0.001,0,0.001,0.001
0,0.002,0.003,0.001,0,0,0,0.002,0.002,0.004,0.002,0.001,0.002,0.006,0.006,0.007,0.002,0.005,0.01,0.009,0.016,0.01,0.016,0.022,0.018,0.02,0.028,0.036,0.042,0.045,0.051,0.061,0.058,0.068,0.067,0.07,0.085,0.053,0.059,0.056,0.021,0.034
0.004,0,0.004,0.004,0.008,0.01,0.008,0.01,0.01,0.016,0.01,0.012,0.014,0.017,0.017,0.024,0.022,0.028,0.021,0.027,0.044,0.034,0.037,0.039,0.041,0.048,0.038,0.047,0.05,0.042,0.041,0.041,0.042,0.025,0.023,0.039,0.024,0.021,0.013,0.014,0.015,0.016
0,0.001,0.001,0.001,0.001,0,0.002,0,0,0,0,0.001,0.002,0.001,0.002,0.001,0.003,0.006,0.003,0.002,0.003,0.006,0.003,0.008,0.009,0.015,0.015,0.022,0.017,0.026,0.051,0.05,0.057,0.064,0.074,0.089,0.092,0.108,0.085,0.085,0.058,0.036
0.001,0.001,0.001,0.003,0.001,0.002,0.002,0.003,0.006,0.009,0.002,0.007,0.006,0.008,0.012,0.01,0.015,0.021,0.015,0.015,0.019,0.027,0.025,0.03,0.025,0.033,0.043,0.039,0.052,0.057,0.051,0.047,0.068,0.051,0.056,0.047,0.046,0.038,0.038,0.029,0.027,0.012
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.001,0,0,0,0.001,0.001,0.001,0.001,0.003,0.004,0.002,0.006,0.004,0.009,0.016,0.015,0.035,0.047,0.076,0.117,0.243,0.417
0.012,0.015,0.017,0.016,0.017,0.023,0.016,0.035,0.019,0.026,0.033,0.026,0.029,0.046,0.029,0.048,0.034,0.035,0.05,0.041,0.039,0.041,0.028,0.03,0.039,0.031,0.028,0.021,0.024,0.02,0.013,0.02,0.019,0.017,0.009,0.015,0.016,0.005,0.007,0.004,0.005,0.002
0.004,0.006,0.007,0.005,0.002,0.007,0.013,0.008,0.011,0.02,0.015,0.017,0.015,0.017,0.018,0.031,0.019,0.033,0.032,0.042,0.047,0.054,0.052,0.037,0.049,0.057,0.046,0.045,0.04,0.036,0.034,0.03,0.021,0.016,0.019,0.02,0.015,0.018,0.015,0.008,0.01,0.009
0.026,0.035,0.047,0.048,0.029,0.042,0.041,0.032,0.041,0.046,0.05,0.056,0.056,0.041,0.047,0.049,0.035,0.036,0.031,0.028,0.028,0.023,0.022,0.007,0.01,0.014,0.014,0.015,0.005,0.01,0.01,0.004,0.005,0.004,0.004,0.004,0.001,0.001,0,0.001,0.002,0
