0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0.001,0.002,0.004,0.001,0.002,0,0.001,0.001,0.001,0.006,0.006,0.009,0.007,0.007,0.015,0.014,0.016,0.034,0.044,0.047,0.085,0.131,0.182,0.234,0.148
0,0.001,0.001,0,0,0,0,0.002,0,0.001,0.001,0,0.001,0.001,0.001,0.001,0,0.002,0.001,0.003,0.004,0.005,0.001,0.003,0.003,0.011,0.007,0.004,0.018,0.016,0.017,0.025,0.038,0.043,0.061,0.073,0.101,0.134,0.128,0.15,0.091,0.051
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0.001,0.001,0.005,0.003,0.003,0.004,0.002,0.008,0.018,0.029,0.054,0.066,0.123,0.229,0.452
0.004,0.008,0.005,0.003,0.01,0.01,0.007,0.014,0.014,0.009,0.014,0.012,0.016,0.025,0.019,0.021,0.022,0.031,0.023,0.043,0.046,0.038,0.054,0.044,0.043,0.056,0.04,0.043,0.039,0.051,0.039,0.051,0.031,0.025,0.024,0.023,0.017,0.007,0.004,0.005,0.004,0.006
0.035,0.028,0.031,0.025,0.037,0.035,0.048,0.048,0.042,0.045,0.045,0.044,0.044,0.027,0.043,0.046,0.043,0.032,0.039,0.024,0.019,0.027,0.016,0.017,0.03,0.021,0.009,0.018,0.01,0.011,0.012,0.008,0.009,0.004,0.01,0.004,0,0.004,0.004,0.003,0.003,0
0.002,0.008,0.013,0.011,0.007,0.015,0.012,0.012,0.018,0.017,0.017,0.025,0.025,0.027,0.018,0.039,0.036,0.038,0.03,0.034,0.027,0.048,0.046,0.027,0.038,0.03,0.029,0.036,0.034,0.031,0.029,0.033,0.025,0.021,0.024,0.019,0.023,0.011,0.025,0.01,0.015,0.015
0.018,0.026,0.015,0.016,0.032,0.032,0.029,0.025,0.044,0.042,0.025,0.034,0.045,0.034,0.03,0.04,0.028,0.031,0.04,0.031,0.04,0.034,0.03,0.023,0.015,0.026,0.024,0.013,0.012,0.02,0.021,0.018,0.013,0.016,0.014,0.015,0.011,0.012,0.012,0.004,0.007,0.003
0.11,0.092,0.084,0.077,0.083,0.069,0.049,0.049,0.04,0.044,0.042,0.042,0.025,0.027,0.022,0.013,0.01,0.008,0.013,0.012,0.008,0.01,0.011,0.004,0.006,0.003,0.006,0.008,0.002,0.005,0.002,0.001,0.004,0.003,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.001
0.137,0.117,0.098,0.104,0.07,0.067,0.054,0.061,0.046,0.035,0.028,0.024,0.023,0.024,0.015,0.013,0.016,0.008,0.014,0.005,0.007,0.005,0.003,0.006,0.004,0.002,0.002,0.003,0.001,0.001,0.001,0,0,0.002,0,0,0.002,0,0,0.001,0,0.001
0.011,0.009,0.009,0.008,0.013,0.015,0.019,0.016,0.016,0.028,0.022,0.026,0.025,0.022,0.026,0.041,0.029,0.03,0.033,0.039,0.038,0.041,0.047,0.029,0.032,0.039,0.025,0.031,0.036,0.03,0.023,0.029,0.023,0.029,0.017,0.018,0.019,0.016,0.012,0.01,0.007,0.012
0.026,0.033,0.039,0.045,0.034,0.037,0.041,0.047,0.038,0.044,0.039,0.048,0.043,0.035,0.038,0.048,0.037,0.033,0.032,0.038,0.034,0.014,0.021,0.02,0.017,0.011,0.011,0.011,0.016,0.006,0.015,0.005,0.003,0.003,0.006,0.01,0.004,0.002,0.005,0.002,0.003,0.006
0.009,0.009,0.01,0.026,0.011,0.016,0.02,0.016,0.027,0.025,0.024,0.028,0.041,0.026,0.036,0.041,0.033,0.036,0.041,0.041,0.027,0.033,0.04,0.041,0.042,0.033,0.029,0.026,0.023,0.02,0.029,0.022,0.015,0.02,0.016,0.008,0.011,0.01,0.009,0.007,0.007,0.016
0.001,0.005,0.003,0.003,0.001,0.001,0.003,0.002,0.002,0.004,0.003,0.012,0.007,0.006,0.009,0.012,0.011,0.02,0.014,0.011,0.016,0.025,0.014,0.036,0.034,0.037,0.048,0.054,0.051,0.041,0.053,0.058,0.053,0.05,0.071,0.052,0.04,0.042,0.034,0.022,0.02,0.019
0.126,0.116,0.099,0.099,0.077,0.069,0.062,0.054,0.033,0.034,0.045,0.045,0.02,0.024,0.019,0.012,0.01,0.014,0.011,0.003,0.007,0.005,0.004,0.002,0,0.001,0,0.002,0.002,0.002,0,0.001,0.001,0,0,0,0,0,0,0.001,0,0
0.045,0.032,0.044,0.046,0.035,0.055,0.031,0.059,0.042,0.034,0.056,0.039,0.043,0.043,0.041,0.037,0.02,0.032,0.024,0.025,0.016,0.027,0.012,0.02,0.023,0.005,0.011,0.008,0.013,0.007,0.016,0.009,0.007,0.007,0.008,0.007,0.004,0.005,0.004,0.004,0.003,0.001
0.061,0.048,0.054,0.05,0.061,0.072,0.068,0.057,0.058,0.054,0.041,0.04,0.025,0.032,0.029,0.03,0.029,0.03,0.02,0.018,0.015,0.01,0.017,0.011,0.008,0.007,0.007,0.005,0.007,0.011,0.004,0.002,0.003,0.002,0.004,0.001,0.002,0,0.003,0.001,0.001,0.002
0.067,0.067,0.053,0.063,0.067,0.043,0.062,0.038,0.056,0.039,0.044,0.038,0.034,0.032,0.027,0.02,0.025,0.021,0.025,0.024,0.022,0.013,0.011,0.014,0.003,0.016,0.014,0.013,0.007,0.005,0.005,0.004,0.008,0.004,0.005,0.001,0.001,0.002,0.004,0.003,0,0
0.063,0.068,0.081,0.066,0.08,0.054,0.055,0.048,0.05,0.038,0.038,0.039,0.049,0.035,0.026,0.03,0.026,0.019,0.027,0.02,0.013,0.007,0.008,0.009,0.007,0.008,0.004,0.004,0.004,0.005,0.001,0.002,0.006,0.002,0.002,0.001,0.001,0,0,0.001,0.001,0.002
